"","speaker","consonant","vowel","following_phone","word","gender","Voicing","Manner","base_vowel","base_vowel_AvIU","base_vowel_IvU","speaker_mean_f0","f0","utterance_num_syllables","local_f0"
"2854","TU065","k","i","t","kiti","female","voiceless","plosive","I",0.333333333333333,-0.5,16.9745931604426,18.6099158516208,5,15.8578002180983
"2855","TU065","b","i","b","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,19.896973245137,18,17.6727427389073
"2856","TU065","dZ","i","z","cizredeki","female","voiced","affricate","I",0.333333333333333,-0.5,16.9745931604426,20.2274696752353,10,16.1818710450779
"2857","TU065","b","u","o","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,22.3443602039571,12,18.388302275782
"2858","TU065","b","u","j","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,20.0481329768348,24,19.4807217543546
"2859","TU065","s","u","n","şunu","female","voiceless","fricative","U",0.333333333333333,0.5,16.9745931604426,18.9816835025132,8,20.33832701479
"2860","TU065","b","u","l","bulunduğunu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,16.7285588278982,5,15.3975902418909
"2861","TU065","b","u","n","bunun","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,17.0426990956939,12,15.8521273021999
"2862","TU065","b","u","n","bunların","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,18.1274142595529,8,19.8794140880602
"2863","TU065","b","u","oe","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,21.7841475265118,7,14.9377245384248
"2864","TU065","b","u","i","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,20.2055444007627,8,18.8553233960582
"2865","TU065","b","u","b","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,21.8179562179048,12,17.4914323446643
"2866","TU065","b","u","d","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,22.1573173828544,25,18.9913035884214
"2867","TU065","v","u","r","vurgulayan","female","voiced","fricative","U",0.333333333333333,0.5,16.9745931604426,16.5952795158954,4,15.93867425057
"2868","TU065","b","u","spn","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,20.0512734656289,17,17.826872900792
"2869","TU065","b","u","t","bu","female","voiced","plosive","U",0.333333333333333,0.5,16.9745931604426,21.3256532048423,22,16.9631959443244
